"name"   "avgft"   "maxft"   "RMSFT"   "avgstretch"   "maxstretch"   "RMSS"   "avgbsld"   "maxbsld"   "RMSBSLD"
"simulations/tsaf_cor_recu"   14806.3247036984   1270453   NA   13.4194903814658   9771.95384615385   117.648510497062   12.3095869443901   9771.95384615385   99.4628964636567
"simulations/sgd_weighted_symm_squared_cor_recu"   13816.5025417678   856501   NA   13.6475412725071   10292   120.82755056897   11.6478381634087   6219.27692307692   71.2085027175371
"simulations/sgd_symm_abs_cor_reqt"   13037.3058546337   1056323   NA   13.7657431271534   9040   110.205727074508   11.5575790353469   5158.20769230769   65.1364336581884
"simulations/sgd_asym_weak_squared_cor_recu"   14165.5907182636   521001   NA   13.9036865193339   12694.8   126.540681440896   12.175792090869   6347.4   74.7390315998266
"simulations/tsaf_cor_tsaf"   14743.9712408968   401316   NA   15.1079024440673   12840   170.854061208953   12.7400019977733   4775.25   81.7577515102818
"simulations/sgd_symm_abs_cor_tsaf"   13659.5938454948   341067   NA   15.4350840814526   14751.4   147.227908350307   12.0264145826664   7375.7   73.4153345683105
"simulations/sgd_asym_strong_squared_cor_recu"   13875.0541053834   282848   NA   17.5356766586585   18265.2   241.709808127272   13.3489787412127   9132.6   84.3210175425645
"simulations/sgd_asym_strong_abs_cor_tsaf"   13670.1419820077   200302   NA   18.0491804973367   16750.4   193.38259102818   13.1407010304869   8375.2   75.8904200926705
"simulations/sgd_asym_strong_abs_cor_reqt"   13668.8556618592   202155   NA   18.1242059994846   16750.4   193.024822037438   13.188782263852   8375.2   74.6946311584527
"simulations/sgd_asym_strong_squared_cor_tsaf"   13877.6641296587   196985   NA   18.5321403282636   17162.6   197.602238893947   14.2674253025036   8581.3   81.280484177682
"simulations/sgd_weighted_asym_weak_abs_cor_recu"   13722.7957161217   277296   NA   18.5535708149127   19025   301.594409458306   12.6827527244798   8275.9   79.6303748499042
"simulations/sgd_asym_weak_abs_cor_tsaf"   13908.5692988719   219117   NA   19.6731670236177   14765   191.187180463669   14.4201102157643   7382.5   76.0713486704376
"simulations/sgd_weighted_asym_weak_squared_cor_tsaf"   14021.7650292732   208994   NA   20.9654502746624   15008.6   237.680434462317   14.8607337359454   7504.3   80.0674033731024
"simulations/sgd_weighted_asym_strong_squared_cor_reqt"   13899.8667285449   206093   NA   21.9946864134468   15897.6   292.182720150562   14.2690103936457   7948.8   86.8383432951581
