
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 docopt.py:84(<genexpr>)
        1    0.000    0.000    0.000    0.000 docopt.py:99(LeafPattern)
        1    0.000    0.000    0.000    0.000 dummy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 easy_backfill_scheduler.py:1(<module>)
    24081    0.111    0.000    1.894    0.000 easy_backfill_scheduler.py:11(new_events_on_job_submission)
    24081    0.120    0.000    1.564    0.000 easy_backfill_scheduler.py:28(new_events_on_job_termination)
    45298    0.089    0.000    1.930    0.000 easy_backfill_scheduler.py:39(_schedule_jobs)
        1    0.000    0.000    0.000    0.000 easy_backfill_scheduler.py:4(EasyBackfillScheduler)
    45298    0.134    0.000    0.453    0.000 easy_backfill_scheduler.py:45(_schedule_head_of_list)
      161    0.001    0.000    0.004    0.000 easy_backfill_scheduler.py:6(__init__)
    45298    0.189    0.000    0.880    0.000 easy_backfill_scheduler.py:60(_backfill_jobs)
        1    0.000    0.000    0.000    0.000 easy_plus_plus_scheduler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 easy_plus_plus_scheduler.py:11(EasyPlusPlusScheduler)
        1    0.000    0.000    0.000    0.000 event_queue.py:1(<module>)
      161    0.001    0.000    0.001    0.000 event_queue.py:26(__init__)
        1    0.000    0.000    0.000    0.000 event_queue.py:3(EventQueue)
    72243    0.057    0.000    0.408    0.000 event_queue.py:31(add_event)
    72404    0.011    0.000    0.038    0.000 event_queue.py:52(is_empty)
    72404    0.007    0.000    0.020    0.000 event_queue.py:56(__len__)
    72243    0.015    0.000    0.425    0.000 event_queue.py:59(pop)
    72243    0.028    0.000    0.028    0.000 event_queue.py:64(_get_event_handlers)
72243/24243    0.252    0.000  125.636    0.005 event_queue.py:70(advance)
      805    0.002    0.000    0.004    0.000 event_queue.py:79(add_handler)
        2    0.000    0.000    0.000    0.000 function.py:100(_check_argtypes_for_fastpath)
     5648    0.005    0.000    0.005    0.000 function.py:150(_getrestype)
        1    0.000    0.000    0.000    0.000 function.py:153(_setrestype)
        3    0.000    0.000    0.000    0.000 function.py:182(_ffishapes)
        4    0.000    0.000    0.000    0.000 function.py:194(_set_address)
     5650    0.007    0.000    0.007    0.000 function.py:199(_get_address)
        1    0.000    0.000    0.000    0.000 function.py:2(<module>)
        7    0.000    0.000    0.000    0.000 function.py:202(__init__)
        3    0.000    0.000    0.000    0.000 function.py:274(_wrap_callable)
     5648    0.099    0.000    2.718    0.000 function.py:282(__call__)
     5648    1.132    0.000    1.450    0.000 function.py:360(_call_funcptr)
     5648    0.014    0.000    0.014    0.000 function.py:387(_do_errcheck)
     5650    0.065    0.000    0.134    0.000 function.py:400(_getfuncptr_fromaddress)
     5650    0.029    0.000    0.165    0.000 function.py:406(_getfuncptr)
    11294    0.226    0.000    0.729    0.000 function.py:455(_conv_param)
        1    0.000    0.000    0.000    0.000 function.py:46(CFuncPtrType)
     5648    0.215    0.000    0.991    0.000 function.py:494(_convert_args)
     5648    0.016    0.000    0.016    0.000 function.py:588(_is_primitive)
     5648    0.060    0.000    0.248    0.000 function.py:592(_wrap_result)
        1    0.000    0.000    0.000    0.000 function.py:61(CFuncPtr)
     5648    0.040    0.000    0.311    0.000 function.py:611(_build_result)
        1    0.000    0.000    0.000    0.000 function.py:649(__del__)
        2    0.000    0.000    0.000    0.000 function.py:662(make_fastpath_subclass)
        2    0.000    0.000    0.000    0.000 function.py:671(CFuncPtrFast)
        2    0.000    0.000    0.000    0.000 function.py:676(enable_fastpath_maybe)
        3    0.000    0.000    0.000    0.000 function.py:83(_getargtypes)
   872246    0.230    0.000    0.336    0.000 heapq.py:135(cmp_lt)
    72243    0.031    0.000    0.328    0.000 heapq.py:140(heappush)
    72243    0.024    0.000    0.395    0.000 heapq.py:145(heappop)
   144181    0.136    0.000    0.335    0.000 heapq.py:242(_siftdown)
    71938    0.168    0.000    0.367    0.000 heapq.py:295(_siftup)
        1    0.000    0.000    0.037    0.037 inspect.py:2(<module>)
        1    0.000    0.000    0.000    0.000 inspect.py:341(getmro)
        1    0.000    0.000    0.000    0.000 inspect.py:631(EndOfBlock)
        1    0.000    0.000    0.000    0.000 inspect.py:633(BlockFinder)
        1    0.000    0.000    0.000    0.000 io_utils.py:1(<module>)
    24497    0.112    0.000    0.112    0.000 io_utils.py:13(<genexpr>)
        1    0.000    0.000    0.000    0.000 io_utils.py:15(simple_name)
     5650    1.079    0.000    1.266    0.000 io_utils.py:9(write_lines_to_file)
        1    0.000    0.000    0.000    0.000 maui_scheduler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 maui_scheduler.py:21(MauiScheduler)
      160    0.002    0.000    0.007    0.000 maui_scheduler.py:22(__init__)
        1    0.000    0.000    0.000    0.000 maui_scheduler.py:3(Weights)
    16000    0.031    0.000    0.618    0.000 maui_scheduler.py:40(new_events_on_job_submission)
    32000    0.029    0.000    0.482    0.000 maui_scheduler.py:46(_schedule_jobs)
    16000    0.026    0.000    0.038    0.000 maui_scheduler.py:49(<lambda>)
      320    0.001    0.000    0.001    0.000 maui_scheduler.py:5(__init__)
    32000    0.038    0.000    0.038    0.000 maui_scheduler.py:55(_unscheduled_jobs_in_backfilling_order)
    32000    0.021    0.000    0.077    0.000 maui_scheduler.py:60(_backfill_jobs)
    16000    0.009    0.000    0.009    0.000 maui_scheduler.py:76(aggregated_weight_of_job)
    16000    0.003    0.000    0.012    0.000 maui_scheduler.py:89(waiting_list_weight)
        1    0.000    0.000    0.000    0.000 online_l2r_maui_scheduler.py:1(<module>)
     8081    0.130    0.000    9.145    0.001 online_l2r_maui_scheduler.py:117(new_events_on_job_termination)
        3    0.000    0.000    0.000    0.000 online_l2r_maui_scheduler.py:136(<lambda>)
       80    0.042    0.001    4.877    0.061 online_l2r_maui_scheduler.py:153(_prepare_training_set_file)
       80    0.005    0.000    3.033    0.038 online_l2r_maui_scheduler.py:169(simulate)
        3    0.002    0.001    0.228    0.076 online_l2r_maui_scheduler.py:208(_merge_and_create_ml_training_file)
        1    0.000    0.000    0.000    0.000 online_l2r_maui_scheduler.py:21(Weights)
       15    0.000    0.000    0.010    0.001 online_l2r_maui_scheduler.py:221(<lambda>)
        2    0.000    0.000    0.000    0.000 online_l2r_maui_scheduler.py:23(__init__)
    13728    0.200    0.000    0.308    0.000 online_l2r_maui_scheduler.py:234(_convert_job_to_str)
    13298    0.079    0.000    1.779    0.000 online_l2r_maui_scheduler.py:286(_schedule_jobs)
    95391    0.059    0.000    0.083    0.000 online_l2r_maui_scheduler.py:290(<lambda>)
    13298    0.208    0.000    0.273    0.000 online_l2r_maui_scheduler.py:296(_unscheduled_jobs_in_backfilling_order)
    80743    0.048    0.000    0.064    0.000 online_l2r_maui_scheduler.py:299(<lambda>)
    13298    0.129    0.000    1.311    0.000 online_l2r_maui_scheduler.py:301(_backfill_jobs)
     3487    0.046    0.000    0.046    0.000 online_l2r_maui_scheduler.py:312(increment_bypass_counters)
   176134    0.030    0.000    0.030    0.000 online_l2r_maui_scheduler.py:317(aggregated_weight_of_job)
    95391    0.006    0.000    0.024    0.000 online_l2r_maui_scheduler.py:332(waiting_list_weight)
    80743    0.005    0.000    0.016    0.000 online_l2r_maui_scheduler.py:335(backfilling_weight)
        1    0.000    0.000    0.000    0.000 online_l2r_maui_scheduler.py:40(OnlineL2RMauiScheduler)
        1    0.000    0.000    0.043    0.043 online_l2r_maui_scheduler.py:51(__init__)
